Entry	Entry name	Protein names	Gene names	Gene names  (synonym )	Gene names  (primary )	Mass	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (GO)	Gene ontology (molecular function)	Gene ontology IDs	Subcellular location [CC]	Tissue specificity
P0A6S3	FLGI_ECOLI	Flagellar P-ring protein (Basal body P-ring protein)	flgI fla FIX flaM b1080 JW1067	fla FIX flaM	flgI	38,169	bacterial-type flagellum-dependent cell motility [GO:0071973]; cellular response to DNA damage stimulus [GO:0006974]	bacterial-type flagellum basal body, distal rod, P ring [GO:0009428]; outer membrane-bounded periplasmic space [GO:0030288]	bacterial-type flagellum basal body, distal rod, P ring [GO:0009428]; outer membrane-bounded periplasmic space [GO:0030288]; structural molecule activity [GO:0005198]; bacterial-type flagellum-dependent cell motility [GO:0071973]; cellular response to DNA damage stimulus [GO:0006974]	structural molecule activity [GO:0005198]	GO:0005198; GO:0006974; GO:0009428; GO:0030288; GO:0071973	SUBCELLULAR LOCATION: Periplasm. Bacterial flagellum basal body.	
P23877	FEPG_ECOLI	Ferric enterobactin transport system permease protein FepG	fepG b0589 JW0581		fepG	34,910	ferric-enterobactin import into cell [GO:0015685]; siderophore-dependent iron import into cell [GO:0033214]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; ferric-enterobactin transmembrane transporter activity [GO:0015620]; transmembrane transporter activity [GO:0022857]; ferric-enterobactin import into cell [GO:0015685]; siderophore-dependent iron import into cell [GO:0033214]	ferric-enterobactin transmembrane transporter activity [GO:0015620]; transmembrane transporter activity [GO:0022857]	GO:0005886; GO:0005887; GO:0015620; GO:0015685; GO:0022857; GO:0033214	SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	
P75938	FLGF_ECOLI	Flagellar basal-body rod protein FlgF (Putative proximal rod protein)	flgF fla FVI flaX b1077 JW1064	fla FVI flaX	flgF	25,912	bacterial-type flagellum-dependent cell motility [GO:0071973]; bacterial-type flagellum-dependent swarming motility [GO:0071978]	bacterial-type flagellum basal body [GO:0009425]; bacterial-type flagellum hook [GO:0009424]	bacterial-type flagellum basal body [GO:0009425]; bacterial-type flagellum hook [GO:0009424]; bacterial-type flagellum-dependent cell motility [GO:0071973]; bacterial-type flagellum-dependent swarming motility [GO:0071978]		GO:0009424; GO:0009425; GO:0071973; GO:0071978	SUBCELLULAR LOCATION: Bacterial flagellum basal body.	
P33135	FLIR_ECOLI	Flagellar biosynthetic protein FliR	fliR flaP b1950 JW1934	flaP	fliR	28,543	bacterial-type flagellum assembly [GO:0044780]; protein targeting [GO:0006605]	bacterial-type flagellum basal body [GO:0009425]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	bacterial-type flagellum basal body [GO:0009425]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; bacterial-type flagellum assembly [GO:0044780]; protein targeting [GO:0006605]		GO:0005886; GO:0006605; GO:0009425; GO:0016021; GO:0044780	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:15919996}; Multi-pass membrane protein {ECO:0000269|PubMed:15919996}. Bacterial flagellum basal body {ECO:0000269|PubMed:15919996}.	
P0A998	FTNA_ECOLI	Bacterial non-heme ferritin (EC 1.16.3.2) (Ferritin-1)	ftnA ftn gen-165 rsgA b1905 JW1893	ftn gen-165 rsgA	ftnA	19,424	cellular response to DNA damage stimulus [GO:0006974]; cellular response to iron ion [GO:0071281]; intracellular sequestering of iron ion [GO:0006880]; iron ion transport [GO:0006826]; response to oxidative stress [GO:0006979]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; ferric iron binding [GO:0008199]; ferrous iron binding [GO:0008198]; ferroxidase activity [GO:0004322]; identical protein binding [GO:0042802]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to iron ion [GO:0071281]; intracellular sequestering of iron ion [GO:0006880]; iron ion transport [GO:0006826]; response to oxidative stress [GO:0006979]	ferric iron binding [GO:0008199]; ferrous iron binding [GO:0008198]; ferroxidase activity [GO:0004322]; identical protein binding [GO:0042802]	GO:0004322; GO:0005737; GO:0005829; GO:0006826; GO:0006880; GO:0006974; GO:0006979; GO:0008198; GO:0008199; GO:0042802; GO:0071281	SUBCELLULAR LOCATION: Cytoplasm.	
P05042	FUMC_ECOLI	Fumarate hydratase class II (Fumarase C) (EC 4.2.1.2) (Aerobic fumarase) (Iron-independent fumarase)	fumC b1611 JW1603		fumC	50,489	fumarate metabolic process [GO:0006106]; malate metabolic process [GO:0006108]; response to oxidative stress [GO:0006979]; tricarboxylic acid cycle [GO:0006099]	tricarboxylic acid cycle enzyme complex [GO:0045239]	tricarboxylic acid cycle enzyme complex [GO:0045239]; fumarate hydratase activity [GO:0004333]; identical protein binding [GO:0042802]; fumarate metabolic process [GO:0006106]; malate metabolic process [GO:0006108]; response to oxidative stress [GO:0006979]; tricarboxylic acid cycle [GO:0006099]	fumarate hydratase activity [GO:0004333]; identical protein binding [GO:0042802]	GO:0004333; GO:0006099; GO:0006106; GO:0006108; GO:0006979; GO:0042802; GO:0045239	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00743, ECO:0000305}.	
P37147	FXSA_ECOLI	UPF0716 protein FxsA (Suppressor of F exclusion of phage T7)	fxsA yjeG b4140 JW4100	yjeG	fxsA	17,692		integral component of membrane [GO:0016021]; intrinsic component of plasma membrane [GO:0031226]; plasma membrane [GO:0005886]	integral component of membrane [GO:0016021]; intrinsic component of plasma membrane [GO:0031226]; plasma membrane [GO:0005886]		GO:0005886; GO:0016021; GO:0031226	SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	
P0A996	GLPC_ECOLI	Anaerobic glycerol-3-phosphate dehydrogenase subunit C (G-3-P dehydrogenase)	glpC b2243 JW2237		glpC	44,108	anaerobic respiration [GO:0009061]; electron transport chain [GO:0022900]; glycerol catabolic process [GO:0019563]	plasma membrane [GO:0005886]	plasma membrane [GO:0005886]; 4 iron, 4 sulfur cluster binding [GO:0051539]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; anaerobic respiration [GO:0009061]; electron transport chain [GO:0022900]; glycerol catabolic process [GO:0019563]	4 iron, 4 sulfur cluster binding [GO:0051539]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]	GO:0005886; GO:0009061; GO:0019563; GO:0022900; GO:0046872; GO:0051536; GO:0051539	SUBCELLULAR LOCATION: Cell inner membrane; Peripheral membrane protein. Note=Loosely bound to the cytoplasmic membrane often occurring in vesicles associated with fumarate reductase.	
P36683	ACNB_ECOLI	Aconitate hydratase B (ACN) (Aconitase) (EC 4.2.1.3) ((2R,3S)-2-methylisocitrate dehydratase) ((2S,3R)-3-hydroxybutane-1,2,3-tricarboxylate dehydratase) (2-methyl-cis-aconitate hydratase) (EC 4.2.1.99) (Iron-responsive protein-like) (IRP-like) (RNA-binding protein)	acnB yacI yacJ b0118 JW0114	yacI yacJ	acnB	93,498	glyoxylate cycle [GO:0006097]; propionate catabolic process, 2-methylcitrate cycle [GO:0019629]; regulation of translation [GO:0006417]; tricarboxylic acid cycle [GO:0006099]	cytosol [GO:0005829]	cytosol [GO:0005829]; 2-methylisocitrate dehydratase activity [GO:0047456]; 4 iron, 4 sulfur cluster binding [GO:0051539]; aconitate hydratase activity [GO:0003994]; citrate dehydratase activity [GO:0047780]; metal ion binding [GO:0046872]; mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; glyoxylate cycle [GO:0006097]; propionate catabolic process, 2-methylcitrate cycle [GO:0019629]; regulation of translation [GO:0006417]; tricarboxylic acid cycle [GO:0006099]	2-methylisocitrate dehydratase activity [GO:0047456]; 4 iron, 4 sulfur cluster binding [GO:0051539]; aconitate hydratase activity [GO:0003994]; citrate dehydratase activity [GO:0047780]; metal ion binding [GO:0046872]; mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]	GO:0003729; GO:0003730; GO:0003994; GO:0005829; GO:0006097; GO:0006099; GO:0006417; GO:0019629; GO:0046872; GO:0047456; GO:0047780; GO:0051539		
P25516	ACNA_ECOLI	Aconitate hydratase A (ACN) (Aconitase) (EC 4.2.1.3) (Iron-responsive protein-like) (IRP-like) (RNA-binding protein) (Stationary phase enzyme)	acnA acn b1276 JW1268	acn	acnA	97,677	anaerobic respiration [GO:0009061]; citrate metabolic process [GO:0006101]; glyoxylate cycle [GO:0006097]; response to oxidative stress [GO:0006979]; tricarboxylic acid cycle [GO:0006099]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; 4 iron, 4 sulfur cluster binding [GO:0051539]; aconitate hydratase activity [GO:0003994]; citrate dehydratase activity [GO:0047780]; iron ion binding [GO:0005506]; metal ion binding [GO:0046872]; mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; anaerobic respiration [GO:0009061]; citrate metabolic process [GO:0006101]; glyoxylate cycle [GO:0006097]; response to oxidative stress [GO:0006979]; tricarboxylic acid cycle [GO:0006099]	4 iron, 4 sulfur cluster binding [GO:0051539]; aconitate hydratase activity [GO:0003994]; citrate dehydratase activity [GO:0047780]; iron ion binding [GO:0005506]; metal ion binding [GO:0046872]; mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]	GO:0003729; GO:0003730; GO:0003994; GO:0005506; GO:0005737; GO:0005829; GO:0006097; GO:0006099; GO:0006101; GO:0006979; GO:0009061; GO:0046872; GO:0047780; GO:0051539		
P06134	ADA_ECOLI	Bifunctional transcriptional activator/DNA repair enzyme Ada (Regulatory protein of adaptive response) [Includes: Methylphosphotriester-DNA--protein-cysteine S-methyltransferase (EC 2.1.1.n11) (Methylphosphotriester-DNA methyltransferase); Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63) (O6-methylguanine-DNA alkyltransferase)]	ada b2213 JW2201		ada	39,324	cellular response to DNA damage stimulus [GO:0006974]; DNA dealkylation involved in DNA repair [GO:0006307]; DNA demethylation [GO:0080111]; negative regulation of transcription, DNA-templated [GO:0045892]; peptidyl-cysteine methylation [GO:0018125]; positive regulation of transcription, DNA-templated [GO:0045893]		DNA-binding transcription factor activity [GO:0003700]; methylated-DNA-[protein]-cysteine S-methyltransferase activity [GO:0003908]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]; cellular response to DNA damage stimulus [GO:0006974]; DNA dealkylation involved in DNA repair [GO:0006307]; DNA demethylation [GO:0080111]; negative regulation of transcription, DNA-templated [GO:0045892]; peptidyl-cysteine methylation [GO:0018125]; positive regulation of transcription, DNA-templated [GO:0045893]	DNA-binding transcription factor activity [GO:0003700]; methylated-DNA-[protein]-cysteine S-methyltransferase activity [GO:0003908]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]	GO:0003700; GO:0003908; GO:0006307; GO:0006974; GO:0008270; GO:0018125; GO:0043565; GO:0045892; GO:0045893; GO:0080111		
P0AAW9	ACRZ_ECOLI	Multidrug efflux pump accessory protein AcrZ (AcrAB-TolC multidrug efflux pump accessory protein AcrZ) (Acridine resistance protein Z)	acrZ ybhT b0762 JW5102	ybhT	acrZ	5,300	cellular response to cell envelope stress [GO:0036460]; response to antibiotic [GO:0046677]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]	cell outer membrane [GO:0009279]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	cell outer membrane [GO:0009279]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; xenobiotic transmembrane transporter activity [GO:0042910]; cellular response to cell envelope stress [GO:0036460]; response to antibiotic [GO:0046677]; xenobiotic detoxification by transmembrane export across the plasma membrane [GO:1990961]	xenobiotic transmembrane transporter activity [GO:0042910]	GO:0005886; GO:0009279; GO:0016021; GO:0036460; GO:0042910; GO:0046677; GO:1990961	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000255|HAMAP-Rule:MF_01484, ECO:0000269|PubMed:19121005, ECO:0000269|PubMed:21778229}; Single-pass membrane protein {ECO:0000255|HAMAP-Rule:MF_01484, ECO:0000269|PubMed:19121005, ECO:0000269|PubMed:21778229}. Note=In sucrose cushions fractionates with both the inner and outer membranes.	
P0A6D3	AROA_ECOLI	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	aroA b0908 JW0891		aroA	46,096	aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	cytosol [GO:0005829]	cytosol [GO:0005829]; 3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]; aromatic amino acid family biosynthetic process [GO:0009073]; cellular amino acid biosynthetic process [GO:0008652]; chorismate biosynthetic process [GO:0009423]	3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]	GO:0003866; GO:0005829; GO:0008652; GO:0009073; GO:0009423	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00210, ECO:0000305}.	
P36560	ASR_ECOLI	Acid shock protein	asr b1597 JW5826		asr	10,591	response to zinc ion [GO:0010043]	periplasmic space [GO:0042597]	periplasmic space [GO:0042597]; response to zinc ion [GO:0010043]		GO:0010043; GO:0042597	SUBCELLULAR LOCATION: Periplasm.	
P12996	BIOB_ECOLI	Biotin synthase (EC 2.8.1.6)	bioB b0775 JW0758		bioB	38,648	biotin biosynthetic process [GO:0009102]		2 iron, 2 sulfur cluster binding [GO:0051537]; 4 iron, 4 sulfur cluster binding [GO:0051539]; biotin synthase activity [GO:0004076]; iron ion binding [GO:0005506]; biotin biosynthetic process [GO:0009102]	2 iron, 2 sulfur cluster binding [GO:0051537]; 4 iron, 4 sulfur cluster binding [GO:0051539]; biotin synthase activity [GO:0004076]; iron ion binding [GO:0005506]	GO:0004076; GO:0005506; GO:0009102; GO:0051537; GO:0051539		
P33927	CCMF_ECOLI	Cytochrome c-type biogenesis protein CcmF	ccmF yejR b2196 JW2184	yejR	ccmF	71,389	cytochrome c-heme linkage [GO:0018063]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; heme binding [GO:0020037]; heme transmembrane transporter activity [GO:0015232]; cytochrome c-heme linkage [GO:0018063]	heme binding [GO:0020037]; heme transmembrane transporter activity [GO:0015232]	GO:0005886; GO:0005887; GO:0015232; GO:0018063; GO:0020037	SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	
P77239	CUSB_ECOLI	Cation efflux system protein CusB	cusB ylcD b0574 JW0563	ylcD	cusB	44,305	cellular copper ion homeostasis [GO:0006878]; copper ion export [GO:0060003]; detoxification of copper ion [GO:0010273]; plasma membrane copper ion transport [GO:0015679]; response to copper ion [GO:0046688]; response to silver ion [GO:0010272]; transmembrane transport [GO:0055085]	cell envelope [GO:0030313]; membrane [GO:0016020]; outer membrane-bounded periplasmic space [GO:0030288]	cell envelope [GO:0030313]; membrane [GO:0016020]; outer membrane-bounded periplasmic space [GO:0030288]; copper ion binding [GO:0005507]; copper ion transmembrane transporter activity [GO:0005375]; transition metal ion binding [GO:0046914]; transmembrane transporter activity [GO:0022857]; cellular copper ion homeostasis [GO:0006878]; copper ion export [GO:0060003]; detoxification of copper ion [GO:0010273]; plasma membrane copper ion transport [GO:0015679]; response to copper ion [GO:0046688]; response to silver ion [GO:0010272]; transmembrane transport [GO:0055085]	copper ion binding [GO:0005507]; copper ion transmembrane transporter activity [GO:0005375]; transition metal ion binding [GO:0046914]; transmembrane transporter activity [GO:0022857]	GO:0005375; GO:0005507; GO:0006878; GO:0010272; GO:0010273; GO:0015679; GO:0016020; GO:0022857; GO:0030288; GO:0030313; GO:0046688; GO:0046914; GO:0055085; GO:0060003		
P77308	DDPB_ECOLI	Probable D,D-dipeptide transport system permease protein DdpB	ddpB yddR b1486 JW1481	yddR	ddpB	37,345	protein transport [GO:0015031]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; dipeptide transmembrane transporter activity [GO:0071916]; protein transport [GO:0015031]	dipeptide transmembrane transporter activity [GO:0071916]	GO:0005886; GO:0005887; GO:0015031; GO:0071916	SUBCELLULAR LOCATION: Cell inner membrane; Multi-pass membrane protein.	
P77263	ECPE_ECOLI	Probable fimbrial chaperone EcpE	ecpE matF yagV b0289 JW5030	matF yagV	ecpE	26,628							
P71301	ECPR_ECOLI	HTH-type transcriptional regulator EcpR	ecpR matA ykgK b0294 JW5031	matA ykgK	ecpR	23,274	regulation of transcription, DNA-templated [GO:0006355]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; DNA binding [GO:0003677]; regulation of transcription, DNA-templated [GO:0006355]	DNA binding [GO:0003677]	GO:0003677; GO:0005737; GO:0006355	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.	
P0ADF6	EDD_ECOLI	Phosphogluconate dehydratase (EC 4.2.1.12) (6-phosphogluconate dehydratase) (Entner-Doudoroff dehydrase)	edd b1851 JW1840		edd	64,639	D-gluconate catabolic process [GO:0046177]; Entner-Doudoroff pathway through 6-phosphogluconate [GO:0009255]	cytosol [GO:0005829]	cytosol [GO:0005829]; 4 iron, 4 sulfur cluster binding [GO:0051539]; hydro-lyase activity [GO:0016836]; metal ion binding [GO:0046872]; phosphogluconate dehydratase activity [GO:0004456]; D-gluconate catabolic process [GO:0046177]; Entner-Doudoroff pathway through 6-phosphogluconate [GO:0009255]	4 iron, 4 sulfur cluster binding [GO:0051539]; hydro-lyase activity [GO:0016836]; metal ion binding [GO:0046872]; phosphogluconate dehydratase activity [GO:0004456]	GO:0004456; GO:0005829; GO:0009255; GO:0016836; GO:0046177; GO:0046872; GO:0051539		
P0A6P1	EFTS_ECOLI	Elongation factor Ts (EF-Ts) (Bacteriophage Q beta RNA-directed RNA polymerase subunit IV)	tsf b0170 JW0165		tsf	30,423	translational elongation [GO:0006414]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; guanyl-nucleotide exchange factor activity [GO:0005085]; translation elongation factor activity [GO:0003746]; zinc ion binding [GO:0008270]; translational elongation [GO:0006414]	guanyl-nucleotide exchange factor activity [GO:0005085]; translation elongation factor activity [GO:0003746]; zinc ion binding [GO:0008270]	GO:0003746; GO:0005085; GO:0005737; GO:0005829; GO:0006414; GO:0008270; GO:0016020	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_00050}.	
